sm_fixture_id,include_name,availability,detail
19134546,events,present_usable,n=22
19134546,statistics,present_usable,n=82
19134546,lineups,present_usable,n=40
19134546,formations,present_usable,n=2
19134546,referees,present_usable,n=1
19134546,coaches,present_usable,n=2
19134546,metadata,present_usable,n=10
19154681,events,present_usable,n=18
19154681,statistics,present_usable,n=82
19154681,lineups,present_usable,n=40
19154681,formations,present_usable,n=2
19154681,referees,present_usable,n=4
19154681,coaches,present_usable,n=2
19154681,metadata,present_usable,n=10
19139842,events,present_usable,n=18
19139842,statistics,present_usable,n=84
19139842,lineups,present_usable,n=40
19139842,formations,present_usable,n=2
19139842,referees,present_usable,n=4
19139842,coaches,present_usable,n=2
19139842,metadata,present_usable,n=10
19155249,events,present_usable,n=15
19155249,statistics,present_usable,n=84
19155249,lineups,present_usable,n=45
19155249,formations,present_usable,n=2
19155249,referees,present_usable,n=4
19155249,coaches,present_usable,n=2
19155249,metadata,present_usable,n=10
19135481,events,present_usable,n=17
19135481,statistics,present_usable,n=82
19135481,lineups,present_usable,n=46
19135481,formations,present_usable,n=2
19135481,referees,present_usable,n=4
19135481,coaches,present_usable,n=2
19135481,metadata,present_usable,n=10
19134553,events,present_usable,n=14
19134553,statistics,present_usable,n=86
19134553,lineups,present_usable,n=40
19134553,formations,present_usable,n=2
19134553,referees,present_usable,n=3
19134553,coaches,present_usable,n=2
19134553,metadata,present_usable,n=10
19154682,events,present_usable,n=14
19154682,statistics,present_usable,n=84
19154682,lineups,present_usable,n=40
19154682,formations,present_usable,n=2
19154682,referees,present_usable,n=4
19154682,coaches,present_usable,n=2
19154682,metadata,present_usable,n=10
19155256,events,present_usable,n=12
19155256,statistics,present_usable,n=82
19155256,lineups,present_usable,n=45
19155256,formations,present_usable,n=2
19155256,referees,present_usable,n=4
19155256,coaches,present_usable,n=2
19155256,metadata,present_usable,n=10
19135490,events,present_usable,n=24
19135490,statistics,present_usable,n=88
19135490,lineups,present_usable,n=45
19135490,formations,present_usable,n=2
19135490,referees,present_usable,n=4
19135490,coaches,present_usable,n=2
19135490,metadata,present_usable,n=10
19134554,events,present_usable,n=9
19134554,statistics,present_usable,n=78
19134554,lineups,present_usable,n=40
19134554,formations,present_usable,n=2
19134554,referees,present_usable,n=4
19134554,coaches,present_usable,n=2
19134554,metadata,present_usable,n=10
19134555,events,present_usable,n=8
19134555,statistics,present_usable,n=84
19134555,lineups,present_usable,n=40
19134555,formations,present_usable,n=2
19134555,referees,present_usable,n=2
19134555,coaches,present_usable,n=2
19134555,metadata,present_usable,n=10
19134556,events,present_usable,n=15
19134556,statistics,present_usable,n=80
